1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	5_clip	6_clip	7_clip	8_clip	9_clip
sq1	2254	296	6219	11106	9714	5847	6407	3461	3193	1803	3062	2978	9304	5383	12828	4134	3902	5013	3051	1799	3355	19	768	119	107	93	158	106	33	32	106	73	600	741	787	588	74	150	175	305	668	88	117	95
sq2	15	13	1215	928	1952	939	722	856	490	250	780	17	1636	542	1854	785	663	951	869	548	911	16	10	1846	1608	1337	2925	1467	586	645	183	44	7	1504	568	464	341	455	950	5	12	4	2	3
sq3	1038	278	648	571	788	556	993	829	682	755	873	1383	679	341	786	497	889	886	1265	1247	972	0	960	0	1	0	7	0	0	1	9	14	1160	10	24	0	0	0	0	704	1288	453	932	647
sq4	2	0	64	66	139	131	53	57	59	24	73	9	79	49	122	86	80	103	174	103	187	9	2	591	1612	1294	1356	2243	636	1035	19	9	0	2767	780	1223	1409	2067	2147	0	1	1	0	0
sq5	0	0	33	77	173	88	33	100	163	61	126	4	64	76	177	41	67	128	334	140	171	36	3	2467	740	1056	2877	1088	897	2127	40	13	2	1196	586	751	1027	1062	1677	0	3	4	0	4
sq6	328	1	80	143	213	132	191	310	464	313	594	796	118	94	227	119	332	692	1512	647	668	2	248	1	12	11	30	59	29	49	2	0	1522	17	19	13	35	84	81	1657	1762	1726	2406	1609
sq7	2	0	77	73	116	56	29	23	53	19	28	5	90	39	130	33	23	41	87	46	135	19	0	1435	2035	1110	1551	3004	904	777	35	54	1	936	480	480	1012	1212	1983	0	2	2	2	2
sq8	1238	137	416	547	566	287	563	411	359	356	442	1167	486	355	565	217	435	475	641	564	442	4	634	5	1	0	12	4	2	2	8	3	1045	7	19	0	0	1	6	610	1025	642	850	681
sq9	326	7	53	168	184	85	132	176	290	212	308	787	102	66	209	63	193	503	822	268	294	1	302	7	16	15	64	59	30	61	11	0	1484	25	14	8	56	99	118	1493	1854	1583	1775	1416
sq10	34	2	153	195	235	552	635	746	973	761	1246	45	158	118	251	395	713	640	1866	1569	1385	4	23	5	40	36	65	103	70	67	1	4	96	18	25	22	55	83	83	87	110	160	300	217
sq11	493	24	71	163	157	176	159	216	209	151	228	636	130	119	207	108	183	156	400	256	314	0	248	0	5	4	10	10	2	5	9	5	1029	9	11	6	9	2	8	713	1211	1172	1506	1312
sq12	0	0	17	10	15	9	6	3	4	3	16	0	27	8	39	5	4	7	7	1	9	20	0	1413	447	446	753	1279	543	896	32	6	3	822	343	1144	705	594	2050	0	0	0	0	0
sq13	219	4	45	70	105	100	120	159	441	228	358	349	79	56	86	76	166	198	951	641	575	0	128	0	0	0	3	0	2	2	1	1	772	5	7	0	1	1	1	582	862	953	1697	1237
sq14	35	2	109	138	161	407	505	585	788	538	957	25	138	86	218	288	577	469	1520	1250	1095	5	14	1	21	19	54	92	51	61	0	1	83	6	13	8	40	61	64	96	106	120	225	187
sq15	2	0	17	48	55	26	22	32	26	20	33	1	25	25	55	26	30	53	68	44	57	2	0	213	211	384	730	661	729	1411	8	4	0	270	122	250	797	1250	1660	1	2	1	0	8
sq16	0	0	4	9	16	3	5	2	3	0	5	0	13	9	18	7	1	6	9	1	9	6	0	140	208	482	890	800	645	1402	0	2	0	132	192	124	1098	1091	1932	1	0	0	0	0
sq17	855	73	221	310	290	209	341	271	207	213	284	794	262	146	253	154	258	316	285	307	283	0	333	26	0	0	5	0	0	0	6	4	712	4	9	1	0	0	0	491	600	213	264	193
sq18	161	0	27	104	113	41	63	92	151	91	174	389	49	52	82	41	86	249	489	156	149	0	161	9	11	15	31	39	24	29	2	0	831	19	8	8	30	72	67	734	967	859	923	789
sq19	3	3	364	293	579	217	152	190	82	23	108	3	428	174	493	176	134	228	199	99	230	5	4	370	510	331	864	408	94	149	57	13	1	446	219	186	93	122	175	0	2	0	2	1
sq20	3	0	54	72	120	47	56	56	50	26	62	2	64	39	96	26	31	35	99	52	45	18	2	827	260	299	419	355	210	271	62	39	0	702	533	794	313	1085	969	2	2	2	0	0
sq21	0	0	20	20	49	53	28	25	30	10	28	5	24	14	42	36	25	44	55	37	62	10	0	247	737	509	534	784	250	396	19	15	0	1230	280	433	492	779	853	0	0	0	0	0
sq22	0	0	6	15	16	9	1	4	16	4	9	2	18	9	16	3	5	6	22	14	24	2	0	227	572	309	451	1388	274	351	22	28	0	359	145	211	754	721	1518	1	0	1	0	0
sq23	15	5	157	206	331	128	88	54	177	40	86	11	215	125	359	59	41	105	144	98	252	2	3	458	379	41	132	89	28	35	134	25	6	791	468	622	266	826	418	2	3	6	3	1
