locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PROKKA_174423,255.3650481,7.402760016,0.498329078,14.85516366,6.44E-50,1.99E-45
PROKKA_101180,390.1504262,3.009247358,0.713047657,4.220261197,2.44E-05,0.000790003
PROKKA_174496,4.285424668,-7.330946805,1.449877929,-5.056251053,4.28E-07,2.17E-05
PROKKA_174497,5.097164478,-5.756828829,1.377233981,-4.179993313,2.92E-05,0.000915284
PROKKA_174498,7.632732696,-4.918277756,1.182819141,-4.158097874,3.21E-05,0.000994741
PROKKA_101497,149.1153311,5.397973936,0.606979328,8.89317591,5.94E-19,2.63E-16
PROKKA_101498,82.61189685,5.652613608,0.617395871,9.155574043,5.41E-20,2.89E-17
PROKKA_101499,63.62936916,6.067538284,0.688162143,8.817018413,1.18E-18,4.97E-16
PROKKA_101500,59.4827054,5.54953081,0.705034436,7.871290431,3.51E-15,7.75E-13
PROKKA_101501,35.40417677,6.066490965,0.869410554,6.977705689,3.00E-12,4.15E-10
PROKKA_101502,112.8171853,4.655378888,0.592029637,7.863422032,3.74E-15,8.20E-13
PROKKA_101503,7.700676711,4.892840776,0.998066721,4.902318323,9.47E-07,4.41E-05
PROKKA_174663,8.098324381,5.190073584,1.183768881,4.384363931,1.16E-05,0.000413318
PROKKA_174666,22.99490624,6.771095228,1.034897292,6.542770266,6.04E-11,6.55E-09
PROKKA_174670,16.95810509,6.039514124,0.934743411,6.461146508,1.04E-10,1.09E-08
PROKKA_174678,28.14454352,6.956413866,1.000105755,6.955678269,3.51E-12,4.77E-10
PROKKA_174778,10.26226802,5.6679783,0.971262903,5.835678764,5.36E-09,4.22E-07
PROKKA_174779,26.63701731,6.783657628,0.888108866,7.638317649,2.20E-14,4.22E-12
PROKKA_174780,3.185265491,6.370386476,1.531444821,4.159723152,3.19E-05,0.000989014
PROKKA_174829,19.79262712,5.361761896,1.224458951,4.378882519,1.19E-05,0.00042223
PROKKA_101917,14.96761089,-5.513183638,1.315634958,-4.190511665,2.78E-05,0.000881558
PROKKA_101921,55.31660005,2.029915533,0.415399646,4.886656864,1.03E-06,4.72E-05
PROKKA_102008,9.809076841,3.184191098,0.744517613,4.27685127,1.90E-05,0.000635
PROKKA_102036,12.76625126,7.972666763,1.335061342,5.971760629,2.35E-09,1.96E-07
PROKKA_102037,77.57730091,5.106337119,0.690377229,7.396444875,1.40E-13,2.35E-11
PROKKA_102038,7.120903866,4.830569707,1.06736578,4.525692876,6.02E-06,0.000231672
PROKKA_102039,27.57499336,4.422823539,0.637389775,6.938962177,3.95E-12,5.29E-10
PROKKA_102048,31.48915152,7.116985978,0.881715794,8.071746047,6.93E-16,1.72E-13
PROKKA_102049,8.351770048,6.767638425,1.210705192,5.589831837,2.27E-08,1.55E-06
PROKKA_102050,24.21101063,6.553512147,0.902095523,7.264765185,3.74E-13,5.91E-11
PROKKA_175000,7.42983025,-6.96762303,1.404283705,-4.96169186,6.99E-07,3.36E-05
