locus_tag	% aa ID	coverage	evalue
PROKKA_04022	25.90%	89.49%	2.69E-09
PROKKA_08473	26.10%	90.19%	4.26E-28
PROKKA_08475	26.30%	89.49%	1.86E-10
PROKKA_08675	26.40%	90.19%	4.24E-29
PROKKA_15001	27.40%	90.19%	1.18E-31
PROKKA_15002	27.50%	91.36%	3.76E-33
PROKKA_15623	28.30%	23.13%	6.43E-04
PROKKA_15625	29.00%	23.13%	1.02E-03
PROKKA_15995	29.60%	94.16%	3.95E-30
PROKKA_19650	29.70%	92.52%	6.94E-32
PROKKA_19871	30.00%	56.78%	1.35E-18
PROKKA_20832	30.00%	94.16%	4.43E-34
PROKKA_26739	30.00%	91.36%	3.38E-40
PROKKA_26820	30.10%	96.03%	2.97E-35
PROKKA_33120	30.10%	92.52%	7.00E-36
PROKKA_33732	30.20%	91.36%	7.31E-39
PROKKA_34441	30.30%	91.82%	1.01E-31
PROKKA_34443	30.40%	92.76%	3.05E-42
PROKKA_34740	30.50%	92.52%	4.64E-36
PROKKA_36421	30.50%	96.96%	8.19E-48
PROKKA_36423	30.60%	91.36%	3.59E-35
PROKKA_37759	30.70%	91.36%	6.20E-41
PROKKA_39791	30.70%	91.82%	5.53E-39
PROKKA_39793	30.80%	92.52%	5.80E-39
PROKKA_40231	30.80%	91.82%	5.36E-41
PROKKA_42330	30.80%	92.06%	4.04E-47
PROKKA_42567	30.80%	92.52%	6.33E-35
PROKKA_43747	30.90%	92.52%	1.10E-37
PROKKA_44497	30.90%	90.65%	8.12E-38
PROKKA_45457	31.10%	92.52%	7.49E-31
PROKKA_49199	31.10%	92.52%	1.62E-45
PROKKA_49816	31.20%	90.65%	2.09E-38
PROKKA_50519	31.30%	92.52%	6.99E-36
PROKKA_50522	31.30%	91.36%	1.45E-41
PROKKA_52267	31.40%	91.36%	2.15E-36
PROKKA_55413	31.50%	92.52%	1.33E-36
PROKKA_56351	31.50%	92.76%	2.84E-41
PROKKA_58379	31.50%	92.52%	1.24E-35
PROKKA_58381	31.60%	92.52%	2.51E-34
PROKKA_62220	31.70%	92.52%	6.86E-45
PROKKA_62222	31.80%	91.36%	1.13E-37
PROKKA_63119	31.80%	93.46%	2.52E-38
PROKKA_64930	31.80%	91.36%	9.64E-44
PROKKA_65379	31.80%	91.36%	2.82E-40
PROKKA_65381	31.90%	91.59%	2.22E-40
PROKKA_66119	32.10%	24.77%	3.29E-08
PROKKA_66365	32.10%	92.52%	2.49E-36
PROKKA_66977	32.10%	99.77%	1.31E-39
PROKKA_66979	32.10%	92.52%	5.35E-35
PROKKA_68748	32.20%	92.76%	1.65E-48
PROKKA_69355	32.30%	91.36%	2.98E-41
PROKKA_69623	32.30%	91.36%	8.71E-41
PROKKA_70631	32.40%	92.52%	4.37E-36
PROKKA_75144	32.40%	98.60%	7.60E-35
PROKKA_75146	32.40%	91.36%	1.37E-42
PROKKA_77633	32.50%	92.52%	1.10E-41
PROKKA_77721	32.60%	95.09%	3.87E-47
PROKKA_77723	32.80%	92.52%	5.10E-38
PROKKA_77725	32.80%	92.76%	6.37E-41
PROKKA_84840	32.80%	42.76%	5.79E-14
PROKKA_87405	32.90%	92.76%	2.09E-43
PROKKA_87982	33.00%	91.36%	1.18E-42
PROKKA_88056	33.10%	91.82%	3.70E-34
PROKKA_89177	33.20%	92.76%	3.13E-46
PROKKA_91317	33.30%	92.76%	7.57E-43
PROKKA_91319	33.30%	92.52%	5.94E-41
PROKKA_91449	33.40%	92.52%	5.80E-45
PROKKA_91451	33.40%	92.29%	4.05E-48
PROKKA_94225	33.40%	92.76%	1.05E-51
PROKKA_94227	33.40%	92.76%	7.79E-46
PROKKA_95323	33.50%	92.76%	1.44E-52
PROKKA_98333	33.60%	98.60%	1.50E-41
PROKKA_103113	33.60%	92.76%	3.51E-47
PROKKA_103891	33.70%	92.76%	2.60E-51
PROKKA_103893	33.80%	92.52%	2.38E-46
PROKKA_109187	33.80%	92.76%	1.10E-44
PROKKA_109861	33.80%	92.76%	6.00E-46
PROKKA_110994	34.00%	70.56%	7.70E-34
PROKKA_110996	34.00%	92.76%	3.40E-54
PROKKA_111062	34.00%	92.29%	4.53E-48
PROKKA_115209	34.10%	92.76%	6.30E-49
PROKKA_119601	34.10%	70.79%	1.96E-37
PROKKA_119603	34.40%	92.52%	1.11E-50
PROKKA_120855	34.50%	92.76%	2.35E-48
PROKKA_122268	34.80%	92.52%	2.71E-50
PROKKA_124448	34.90%	92.52%	1.79E-46
PROKKA_127797	34.90%	94.39%	8.57E-49
PROKKA_127907	35.50%	95.09%	3.52E-48
PROKKA_130758	36.60%	33.18%	7.20E-15
PROKKA_133549	40.10%	93.46%	2.43E-84
PROKKA_133814	41.20%	92.76%	9.89E-85
PROKKA_134087	41.40%	92.76%	7.07E-88
PROKKA_136246	42.10%	92.76%	2.18E-91
PROKKA_140953	42.30%	93.46%	3.61E-86
PROKKA_141495	43.00%	93.46%	4.72E-94
PROKKA_141616	43.10%	66.12%	7.92E-59
PROKKA_141933	43.20%	93.46%	1.34E-94
PROKKA_144016	44.60%	91.36%	2.46E-94
PROKKA_145317	45.60%	28.97%	8.25E-22
PROKKA_153422	46.30%	98.83%	3.60E-116
PROKKA_153872	48.10%	96.03%	2.71E-120
PROKKA_156413	48.20%	96.96%	4.80E-99
PROKKA_157042	48.50%	99.53%	1.14E-118
PROKKA_158208	48.50%	95.09%	1.71E-115
PROKKA_159809	48.60%	96.03%	2.82E-122
PROKKA_159850	48.90%	96.26%	4.02E-118
PROKKA_162960	49.00%	96.50%	1.86E-125
PROKKA_164847	49.30%	96.03%	1.84E-124
PROKKA_167831	49.40%	96.26%	1.03E-124
PROKKA_173426	49.50%	96.03%	9.13E-118
PROKKA_173981	49.50%	96.03%	1.97E-123
PROKKA_189559	49.60%	96.26%	4.28E-125
PROKKA_190549	50.00%	58.18%	8.61E-63
