"HMM Profile";"Profile Length";"locus_tag";"Gene Length";"E Value";"Profile Start";"Profile End";"Gene Start";"Gene End";"Coverage";"HMM_Profile_simple";"HK"
"GH20.hmm";337;"PROKKA_00384";838;6,3e-85;8;334;303;719;0,96735905;"GH20";"PROKKA_00384_1_GH20"
"GH92.hmm";491;"PROKKA_00393";971;2,8e-186;2;490;231;718;0,99389002;"GH92";"PROKKA_00393_1_GH92"
"CE11.hmm";271;"PROKKA_00495";466;8,2e-73;1;230;5;235;0,84501845;"CE11";"PROKKA_00495_1_CE11"
"GT27.hmm";295;"PROKKA_00542";328;4,4e-17;2;243;5;236;0,816949153;"GT27";"PROKKA_00542_1_GT27"
"GT4.hmm";160;"PROKKA_00617";375;4,6e-39;6;158;195;344;0,95;"GT4";"PROKKA_00617_1_GT4"
"GH3.hmm";216;"PROKKA_00618";989;1,6e-53;4;215;121;345;0,976851852;"GH3";"PROKKA_00618_1_GH3"
"PL7_5.hmm";267;"PROKKA_01083";324;3,7e-101;1;267;54;317;0,996254682;"PL7";"PROKKA_01083_1_PL7"
"GT9.hmm";225;"PROKKA_01109";323;1,3e-29;3;197;55;272;0,862222222;"GT9";"PROKKA_01109_1_GT9"
"CE14.hmm";124;"PROKKA_01448";241;6,9e-23;1;124;6;111;0,991935484;"CE14";"PROKKA_01448_1_CE14"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_01470";329;8,6e-21;2;167;5;179;0,970588235;"GT2";"PROKKA_01470_1_GT2"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_01496";249;5,3e-17;2;169;9;171;0,982352941;"GT2";"PROKKA_01496_1_GT2"
"GT9.hmm";225;"PROKKA_01549";353;2,5e-27;4;195;72;296;0,848888889;"GT9";"PROKKA_01549_1_GT9"
"CE4.hmm";130;"PROKKA_01553";241;1,6e-19;3;109;55;174;0,815384615;"CE4";"PROKKA_01553_1_CE4"
"GT4.hmm";160;"PROKKA_01557";370;1,6e-24;7;157;185;336;0,9375;"GT4";"PROKKA_01557_1_GT4"
"GH16.hmm";189;"PROKKA_01633";310;3,8e-56;3;189;39;307;0,984126984;"GH16";"PROKKA_01633_1_GH16"
"GH149.hmm";1128;"PROKKA_01635";1158;0;2;1128;22;1151;0,99822695;"GH149";"PROKKA_01635_1_GH149"
"GH17.hmm";311;"PROKKA_01636";425;2,4e-30;17;309;73;383;0,938906752;"GH17";"PROKKA_01636_1_GH17"
"GH30_1.hmm";416;"PROKKA_01637";482;2,1e-167;4;416;39;478;0,990384615;"GH30";"PROKKA_01637_1_GH30"
"GH17.hmm";311;"PROKKA_01638";781;5,1e-21;24;308;540;779;0,91318328;"GH17";"PROKKA_01638_1_GH17"
"GH17.hmm";311;"PROKKA_01639";306;7,9e-28;28;307;70;305;0,897106109;"GH17";"PROKKA_01639_1_GH17"
"CE11.hmm";271;"PROKKA_01766";468;3,5e-72;1;222;9;231;0,815498155;"CE11";"PROKKA_01766_1_CE11"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_02014";337;2,4e-26;1;166;7;170;0,970588235;"GT2";"PROKKA_02014_1_GT2"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_02064";313;3,3e-33;1;148;5;148;0,864705882;"GT2";"PROKKA_02064_1_GT2"
"GT4.hmm";160;"PROKKA_02065";372;7,6e-36;9;158;189;338;0,93125;"GT4";"PROKKA_02065_1_GT4"
"GH73.hmm";128;"PROKKA_02102";260;2e-36;6;128;66;190;0,953125;"GH73";"PROKKA_02102_1_GH73"
"GT19.hmm";354;"PROKKA_02110";371;2,7e-122;2;352;4;352;0,988700565;"GT19";"PROKKA_02110_1_GT19"
"CE1.hmm";227;"PROKKA_02115";764;4,8e-16;5;210;514;735;0,9030837;"CE1";"PROKKA_02115_1_CE1"
"GH97.hmm";631;"PROKKA_02449";705;2e-228;5;630;12;700;0,990491284;"GH97";"PROKKA_02449_1_GH97"
"GH13_38.hmm";375;"PROKKA_02451";626;3,1e-180;1;375;64;460;0,997333333;"GH13";"PROKKA_02451_1_GH13"
"GH31.hmm";427;"PROKKA_02452";807;6,1e-128;3;427;240;674;0,992974239;"GH31";"PROKKA_02452_1_GH31"
"GH13.hmm";299;"PROKKA_02453";647;9,1e-57;12;296;180;513;0,949832776;"GH13";"PROKKA_02453_1_GH13"
"GH65.hmm";372;"PROKKA_02454";769;1,4e-145;1;370;324;702;0,991935484;"GH65";"PROKKA_02454_1_GH65"
"GH13_10.hmm";313;"PROKKA_02461";935;4,2e-43;6;313;399;714;0,980830671;"GH13";"PROKKA_02461_1_GH13"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_02464";333;3,4e-23;2;166;5;179;0,964705882;"GT2";"PROKKA_02464_1_GT2"
"CBM9.hmm";182;"PROKKA_02488";836;1,1e-19;1;163;64;231;0,89010989;"CBM9";"PROKKA_02488_1_CBM9"
"GH109.hmm";126;"PROKKA_02612";327;3e-18;1;121;9;120;0,952380952;"GH109";"PROKKA_02612_1_GH109"
"CE14.hmm";124;"PROKKA_02615";830;2e-17;1;114;45;157;0,911290323;"CE14";"PROKKA_02615_1_CE14"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_02662";374;5,8e-21;1;168;40;208;0,982352941;"GT2";"PROKKA_02662_1_GT2"
"CE4.hmm";130;"PROKKA_02663";202;6e-26;5;115;20;127;0,846153846;"CE4";"PROKKA_02663_1_CE4"
"GT51.hmm";177;"PROKKA_02686";760;1,3e-59;2;176;65;239;0,983050847;"GT51";"PROKKA_02686_1_GT51"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_02705";243;4,2e-29;2;165;5;168;0,958823529;"GT2";"PROKKA_02705_1_GT2"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_02713";369;5,9e-22;1;166;47;208;0,970588235;"GT2";"PROKKA_02713_1_GT2"
"GH73.hmm";128;"PROKKA_02736";473;2,7e-33;5;128;34;160;0,9609375;"GH73";"PROKKA_02736_1_GH73"
"GT60.hmm";330;"PROKKA_02840";1214;4,2e-56;1;329;916;1206;0,993939394;"GT60";"PROKKA_02840_1_GT60"
"GT4.hmm";160;"PROKKA_03058";364;4,4e-40;5;160;184;337;0,96875;"GT4";"PROKKA_03058_1_GT4"
"GT4.hmm";160;"PROKKA_03072";372;2e-36;5;156;197;345;0,94375;"GT4";"PROKKA_03072_1_GT4"
